mdp_seed,epsilon,sarsop_gap,solver_stop_reason,solver_elapsed_seconds,target_precision,acceptance_threshold
1008468227,0.08,0.010445046388852575,precision,1.3529980182647705,0.01,0.5
1008468227,0.09,0.009940939515957314,precision,1.3432979583740234,0.01,0.5
1008468227,0.1,0.010027475161208166,precision,1.7611830234527588,0.01,0.5
1513036094,0.01,0.010481848672005967,precision,256.05124711990356,0.01,0.5
1513036094,0.02,0.015115223470713701,max_time,602.836189031601,0.01,0.5
1513036094,0.03,0.016712759363399332,max_time,603.8898129463196,0.01,0.5
1513036094,0.04,0.01864936545518514,max_time,600.2017149925232,0.01,0.5
1513036094,0.05,0.021717026307256138,max_time,607.0090038776398,0.01,0.5
1513036094,0.06,0.02395254185261031,max_time,600.3489229679108,0.01,0.5
1513036094,0.07,0.030825120894647284,max_time,605.145015001297,0.01,0.5
1513036094,0.08,0.030805069146512487,max_time,600.5069711208344,0.01,0.5
1513036094,0.09,0.02986340753192529,max_time,600.4390070438385,0.01,0.5
1513036094,0.1,0.03575158392937805,max_time,610.589476108551,0.01,0.5
1446584314,0.01,0.01097479537130397,precision,49.34848499298096,0.01,0.5
1446584314,0.02,0.01105578635111959,precision,155.5075330734253,0.01,0.5
1446584314,0.03,0.010702864725398609,precision,188.76778411865234,0.01,0.5
1446584314,0.04,0.011402802893067943,precision,230.0111801624298,0.01,0.5
1446584314,0.05,0.011009823168076416,precision,284.7467658519745,0.01,0.5
1446584314,0.06,0.010648155937186043,precision,338.3891398906708,0.01,0.5
1446584314,0.07,0.010754938644971901,precision,446.53457593917847,0.01,0.5
1446584314,0.08,0.01099446737965426,precision,493.0478069782257,0.01,0.5
1446584314,0.09,0.011095369053673032,precision,571.0394921302795,0.01,0.5
1446584314,0.1,0.013586434281851911,max_time,600.5128819942474,0.01,0.5
792062313,0.01,0.014527011614741792,max_time,605.8732430934906,0.01,0.5
792062313,0.02,0.020512196174031327,max_time,601.0092108249664,0.01,0.5
792062313,0.03,0.02536613837033208,max_time,601.204745054245,0.01,0.5
792062313,0.04,0.030857441138333552,max_time,605.6596229076385,0.01,0.5
792062313,0.05,0.03237387739776798,max_time,607.3364999294281,0.01,0.5
792062313,0.06,0.04165151456977467,max_time,603.6783299446106,0.01,0.5
792062313,0.07,0.045798063321633276,max_time,609.7604291439056,0.01,0.5
792062313,0.08,0.047188581387031636,max_time,609.03200507164,0.01,0.5
792062313,0.09,0.0472420336619952,max_time,603.0458340644836,0.01,0.5
792062313,0.1,0.05252437257785214,max_time,601.6572160720825,0.01,0.5
357994901,0.01,0.021912091421998348,max_time,606.9341440200806,0.01,0.5
